Subject_Index,REM_Cycle_Index,Stage,Duration,Source
SC4002EC,SC4002EC_C1,3,300,EDF
SC4002EC,SC4002EC_C1,2,30,EDF
SC4002EC,SC4002EC_C1,3,120,EDF
SC4002EC,SC4002EC_C2,1,270,EDF
SC4002EC,SC4002EC_C2,5,30,EDF
SC4002EC,SC4002EC_C2,4,30,EDF
SC4002EC,SC4002EC_C2,3,30,EDF
SC4002EC,SC4002EC_C2,5,30,EDF
SC4002EC,SC4002EC_C2,4,60,EDF
SC4002EC,SC4002EC_C3,1,1320,EDF
SC4002EC,SC4002EC_C3,3,90,EDF
SC4002EC,SC4002EC_C4,1,60,EDF
SC4002EC,SC4002EC_C4,3,210,EDF
SC4002EC,SC4002EC_C5,1,90,EDF
SC4002EC,SC4002EC_C5,3,300,EDF
SC4002EC,SC4002EC_C5,5,30,EDF
SC4002EC,SC4002EC_C5,4,60,EDF
SC4002EC,SC4002EC_C5,5,270,EDF
SC4002EC,SC4002EC_C5,4,60,EDF
SC4002EC,SC4002EC_C5,5,150,EDF
SC4002EC,SC4002EC_C5,4,30,EDF
SC4002EC,SC4002EC_C5,3,1020,EDF
SC4002EC,SC4002EC_C5,2,30,EDF
SC4002EC,SC4002EC_C5,3,30,EDF
SC4002EC,SC4002EC_C5,2,210,EDF
SC4002EC,SC4002EC_C5,3,60,EDF
SC4002EC,SC4002EC_C5,2,810,EDF
SC4002EC,SC4002EC_C5,3,570,EDF
SC4002EC,SC4002EC_C5,2,30,EDF
SC4002EC,SC4002EC_C5,3,90,EDF
SC4002EC,SC4002EC_C5,4,30,EDF
SC4002EC,SC4002EC_C5,5,30,EDF
SC4002EC,SC4002EC_C5,4,30,EDF
SC4002EC,SC4002EC_C5,3,90,EDF
SC4002EC,SC4002EC_C5,5,30,EDF
SC4002EC,SC4002EC_C5,4,30,EDF
SC4002EC,SC4002EC_C5,3,210,EDF
SC4002EC,SC4002EC_C6,1,480,EDF
SC4002EC,SC4002EC_C6,5,60,EDF
SC4002EC,SC4002EC_C6,4,30,EDF
SC4002EC,SC4002EC_C6,3,270,EDF
SC4002EC,SC4002EC_C6,5,30,EDF
SC4002EC,SC4002EC_C6,4,60,EDF
SC4002EC,SC4002EC_C6,5,600,EDF
SC4002EC,SC4002EC_C6,4,30,EDF
SC4002EC,SC4002EC_C6,5,210,EDF
SC4002EC,SC4002EC_C6,4,90,EDF
SC4002EC,SC4002EC_C6,3,990,EDF
SC4002EC,SC4002EC_C6,2,30,EDF
SC4002EC,SC4002EC_C6,3,510,EDF
SC4002EC,SC4002EC_C6,2,180,EDF
SC4002EC,SC4002EC_C6,3,120,EDF
SC4002EC,SC4002EC_C6,2,330,EDF
SC4002EC,SC4002EC_C6,4,30,EDF
SC4002EC,SC4002EC_C6,3,120,EDF
SC4002EC,SC4002EC_C6,2,60,EDF
SC4002EC,SC4002EC_C6,3,180,EDF
SC4002EC,SC4002EC_C6,4,30,EDF
SC4002EC,SC4002EC_C6,3,30,EDF
SC4002EC,SC4002EC_C6,4,30,EDF
SC4002EC,SC4002EC_C7,1,450,EDF
SC4002EC,SC4002EC_C7,5,60,EDF
SC4002EC,SC4002EC_C7,4,180,EDF
SC4002EC,SC4002EC_C8,1,60,EDF
SC4002EC,SC4002EC_C8,5,30,EDF
SC4002EC,SC4002EC_C8,4,60,EDF
SC4002EC,SC4002EC_C9,1,1050,EDF
SC4002EC,SC4002EC_C9,5,30,EDF
SC4002EC,SC4002EC_C9,4,120,EDF
SC4002EC,SC4002EC_C9,3,150,EDF
SC4002EC,SC4002EC_C9,4,90,EDF
SC4002EC,SC4002EC_C10,1,630,EDF
SC4002EC,SC4002EC_C10,4,60,EDF
SC4002EC,SC4002EC_C10,3,60,EDF
SC4002EC,SC4002EC_C10,4,30,EDF
SC4002EC,SC4002EC_C10,3,570,EDF
SC4002EC,SC4002EC_C10,5,30,EDF
SC4002EC,SC4002EC_C10,4,30,EDF
SC4002EC,SC4002EC_C10,3,600,EDF
SC4002EC,SC4002EC_C10,2,2250,EDF
SC4002EC,SC4002EC_C10,5,60,EDF
SC4002EC,SC4002EC_C10,4,60,EDF
SC4002EC,SC4002EC_C10,3,60,EDF
SC4002EC,SC4002EC_C10,4,120,EDF
SC4002EC,SC4002EC_C11,1,1080,EDF
SC4002EC,SC4002EC_C11,4,30,EDF
SC4002EC,SC4002EC_C12,1,360,EDF
SC4002EC,SC4002EC_C12,5,90,EDF
SC4002EC,SC4002EC_C12,4,60,EDF
SC4002EC,SC4002EC_C12,3,120,EDF
SC4002EC,SC4002EC_C12,5,30,EDF
SC4002EC,SC4002EC_C12,4,60,EDF
SC4002EC,SC4002EC_C12,3,150,EDF
SC4002EC,SC4002EC_C12,5,30,EDF
SC4002EC,SC4002EC_C12,4,30,EDF
SC4002EC,SC4002EC_C12,3,1830,EDF
SC4002EC,SC4002EC_C12,5,30,EDF
SC4002EC,SC4002EC_C12,4,30,EDF
SC4002EC,SC4002EC_C12,3,210,EDF
SC4002EC,SC4002EC_C12,4,30,EDF
SC4002EC,SC4002EC_C12,3,360,EDF
SC4002EC,SC4002EC_C12,5,28590,EDF
SC4011EH,SC4011EH_C1,1,1650,EDF
SC4011EH,SC4011EH_C1,3,1110,EDF
SC4011EH,SC4011EH_C1,2,30,EDF
SC4011EH,SC4011EH_C1,3,30,EDF
SC4011EH,SC4011EH_C1,2,90,EDF
SC4011EH,SC4011EH_C1,3,30,EDF
SC4011EH,SC4011EH_C1,2,720,EDF
SC4011EH,SC4011EH_C1,3,780,EDF
SC4011EH,SC4011EH_C1,4,30,EDF
SC4011EH,SC4011EH_C1,3,1050,EDF
SC4011EH,SC4011EH_C1,4,30,EDF
SC4011EH,SC4011EH_C1,3,1380,EDF
SC4011EH,SC4011EH_C1,4,30,EDF
SC4011EH,SC4011EH_C1,5,60,EDF
SC4011EH,SC4011EH_C1,4,90,EDF
SC4011EH,SC4011EH_C1,5,120,EDF
SC4011EH,SC4011EH_C1,4,210,EDF
SC4011EH,SC4011EH_C1,3,390,EDF
SC4011EH,SC4011EH_C1,5,90,EDF
SC4011EH,SC4011EH_C1,4,60,EDF
SC4011EH,SC4011EH_C1,5,90,EDF
SC4011EH,SC4011EH_C1,4,30,EDF
SC4011EH,SC4011EH_C1,5,30,EDF
SC4011EH,SC4011EH_C1,4,60,EDF
SC4011EH,SC4011EH_C1,5,120,EDF
SC4011EH,SC4011EH_C1,4,120,EDF
SC4011EH,SC4011EH_C1,3,750,EDF
SC4011EH,SC4011EH_C1,4,60,EDF
SC4011EH,SC4011EH_C1,3,600,EDF
SC4011EH,SC4011EH_C2,1,1170,EDF
SC4011EH,SC4011EH_C2,3,1320,EDF
SC4011EH,SC4011EH_C2,2,60,EDF
SC4011EH,SC4011EH_C2,3,120,EDF
SC4011EH,SC4011EH_C2,2,30,EDF
SC4011EH,SC4011EH_C2,3,30,EDF
SC4011EH,SC4011EH_C2,2,90,EDF
SC4011EH,SC4011EH_C2,3,60,EDF
SC4011EH,SC4011EH_C2,2,60,EDF
SC4011EH,SC4011EH_C2,3,120,EDF
SC4011EH,SC4011EH_C2,2,60,EDF
SC4011EH,SC4011EH_C2,3,60,EDF
SC4011EH,SC4011EH_C2,2,30,EDF
SC4011EH,SC4011EH_C2,3,30,EDF
SC4011EH,SC4011EH_C2,2,30,EDF
SC4011EH,SC4011EH_C2,3,60,EDF
SC4011EH,SC4011EH_C2,2,270,EDF
SC4011EH,SC4011EH_C2,4,30,EDF
SC4011EH,SC4011EH_C2,3,1230,EDF
SC4011EH,SC4011EH_C2,4,60,EDF
SC4011EH,SC4011EH_C2,3,330,EDF
SC4011EH,SC4011EH_C2,4,60,EDF
SC4011EH,SC4011EH_C2,3,300,EDF
SC4011EH,SC4011EH_C2,4,60,EDF
SC4011EH,SC4011EH_C2,3,120,EDF
SC4011EH,SC4011EH_C2,4,90,EDF
SC4011EH,SC4011EH_C2,3,180,EDF
SC4011EH,SC4011EH_C3,1,30,EDF
SC4011EH,SC4011EH_C3,3,270,EDF
SC4011EH,SC4011EH_C3,5,30,EDF
SC4011EH,SC4011EH_C3,4,30,EDF
SC4011EH,SC4011EH_C3,3,240,EDF
SC4011EH,SC4011EH_C4,1,210,EDF
SC4011EH,SC4011EH_C4,4,60,EDF
SC4011EH,SC4011EH_C5,1,1080,EDF
SC4011EH,SC4011EH_C5,4,30,EDF
SC4011EH,SC4011EH_C6,1,90,EDF
SC4011EH,SC4011EH_C6,3,60,EDF
SC4011EH,SC4011EH_C6,4,60,EDF
SC4011EH,SC4011EH_C6,3,690,EDF
SC4011EH,SC4011EH_C6,4,60,EDF
SC4011EH,SC4011EH_C6,3,240,EDF
SC4011EH,SC4011EH_C6,4,60,EDF
SC4011EH,SC4011EH_C6,3,1020,EDF
SC4011EH,SC4011EH_C6,5,60,EDF
SC4011EH,SC4011EH_C6,4,30,EDF
SC4011EH,SC4011EH_C6,3,1170,EDF
SC4011EH,SC4011EH_C7,1,390,EDF
SC4011EH,SC4011EH_C7,4,30,EDF
SC4011EH,SC4011EH_C8,1,480,EDF
SC4011EH,SC4011EH_C8,5,33030,EDF
SC4012EC,SC4012EC_C1,1,360,EDF
SC4012EC,SC4012EC_C1,4,150,EDF
SC4012EC,SC4012EC_C1,3,180,EDF
SC4012EC,SC4012EC_C2,1,30,EDF
SC4012EC,SC4012EC_C2,3,30,EDF
SC4012EC,SC4012EC_C3,1,480,EDF
SC4012EC,SC4012EC_C3,3,30,EDF
SC4012EC,SC4012EC_C4,1,30,EDF
SC4012EC,SC4012EC_C4,3,30,EDF
SC4012EC,SC4012EC_C4,4,60,EDF
SC4012EC,SC4012EC_C5,1,60,EDF
SC4012EC,SC4012EC_C5,4,180,EDF
SC4012EC,SC4012EC_C5,3,420,EDF
SC4012EC,SC4012EC_C5,2,30,EDF
SC4012EC,SC4012EC_C5,3,390,EDF
SC4012EC,SC4012EC_C5,2,30,EDF
SC4012EC,SC4012EC_C5,3,60,EDF
SC4012EC,SC4012EC_C5,2,30,EDF
SC4012EC,SC4012EC_C5,3,60,EDF
SC4012EC,SC4012EC_C5,2,30,EDF
SC4012EC,SC4012EC_C5,3,30,EDF
SC4012EC,SC4012EC_C5,2,180,EDF
SC4012EC,SC4012EC_C5,3,30,EDF
SC4012EC,SC4012EC_C5,2,90,EDF
SC4012EC,SC4012EC_C5,3,30,EDF
SC4012EC,SC4012EC_C5,2,60,EDF
SC4012EC,SC4012EC_C5,3,180,EDF
SC4012EC,SC4012EC_C5,2,30,EDF
SC4012EC,SC4012EC_C5,3,30,EDF
SC4012EC,SC4012EC_C5,2,720,EDF
SC4012EC,SC4012EC_C5,5,90,EDF
SC4012EC,SC4012EC_C5,4,30,EDF
SC4012EC,SC4012EC_C5,3,1020,EDF
SC4012EC,SC4012EC_C5,4,30,EDF
SC4012EC,SC4012EC_C5,3,870,EDF
SC4012EC,SC4012EC_C5,4,30,EDF
SC4012EC,SC4012EC_C5,3,720,EDF
SC4012EC,SC4012EC_C6,1,90,EDF
SC4012EC,SC4012EC_C6,4,60,EDF
SC4012EC,SC4012EC_C7,1,270,EDF
SC4012EC,SC4012EC_C7,4,60,EDF
SC4012EC,SC4012EC_C7,5,30,EDF
SC4012EC,SC4012EC_C7,4,30,EDF
SC4012EC,SC4012EC_C7,3,150,EDF
SC4012EC,SC4012EC_C8,1,420,EDF
SC4012EC,SC4012EC_C8,4,150,EDF
SC4012EC,SC4012EC_C8,3,150,EDF
SC4012EC,SC4012EC_C9,1,420,EDF
SC4012EC,SC4012EC_C9,4,60,EDF
SC4012EC,SC4012EC_C10,1,690,EDF
SC4012EC,SC4012EC_C10,4,30,EDF
SC4012EC,SC4012EC_C11,1,120,EDF
SC4012EC,SC4012EC_C11,4,60,EDF
SC4012EC,SC4012EC_C11,3,120,EDF
SC4012EC,SC4012EC_C11,5,540,EDF
SC4012EC,SC4012EC_C11,4,150,EDF
SC4012EC,SC4012EC_C11,3,540,EDF
SC4012EC,SC4012EC_C11,4,30,EDF
SC4012EC,SC4012EC_C11,3,960,EDF
SC4012EC,SC4012EC_C11,2,30,EDF
SC4012EC,SC4012EC_C11,3,60,EDF
SC4012EC,SC4012EC_C11,2,30,EDF
SC4012EC,SC4012EC_C11,3,90,EDF
SC4012EC,SC4012EC_C11,2,180,EDF
SC4012EC,SC4012EC_C11,3,30,EDF
SC4012EC,SC4012EC_C11,2,120,EDF
SC4012EC,SC4012EC_C11,3,30,EDF
SC4012EC,SC4012EC_C11,5,30,EDF
SC4012EC,SC4012EC_C11,4,30,EDF
SC4012EC,SC4012EC_C11,3,30,EDF
SC4012EC,SC4012EC_C11,5,60,EDF
SC4012EC,SC4012EC_C11,4,30,EDF
SC4012EC,SC4012EC_C11,3,1680,EDF
SC4012EC,SC4012EC_C11,4,30,EDF
SC4012EC,SC4012EC_C11,3,330,EDF
SC4012EC,SC4012EC_C11,5,30,EDF
SC4012EC,SC4012EC_C11,4,60,EDF
SC4012EC,SC4012EC_C11,5,30,EDF
SC4012EC,SC4012EC_C11,4,30,EDF
SC4012EC,SC4012EC_C11,3,390,EDF
SC4012EC,SC4012EC_C12,1,240,EDF
SC4012EC,SC4012EC_C12,4,60,EDF
SC4012EC,SC4012EC_C12,3,30,EDF
SC4012EC,SC4012EC_C13,1,120,EDF
SC4012EC,SC4012EC_C13,4,60,EDF
SC4012EC,SC4012EC_C14,1,180,EDF
SC4012EC,SC4012EC_C14,4,30,EDF
SC4012EC,SC4012EC_C15,1,450,EDF
SC4012EC,SC4012EC_C15,4,150,EDF
SC4012EC,SC4012EC_C15,3,30,EDF
SC4012EC,SC4012EC_C15,4,60,EDF
SC4012EC,SC4012EC_C15,3,420,EDF
SC4012EC,SC4012EC_C15,4,30,EDF
SC4012EC,SC4012EC_C15,3,150,EDF
SC4012EC,SC4012EC_C15,4,30,EDF
SC4012EC,SC4012EC_C16,1,30,EDF
SC4012EC,SC4012EC_C16,5,30,EDF
SC4012EC,SC4012EC_C16,4,30,EDF
SC4012EC,SC4012EC_C16,3,1230,EDF
SC4012EC,SC4012EC_C16,4,60,EDF
SC4012EC,SC4012EC_C16,3,1140,EDF
SC4012EC,SC4012EC_C17,1,120,EDF
SC4012EC,SC4012EC_C17,5,30,EDF
SC4012EC,SC4012EC_C17,4,90,EDF
SC4012EC,SC4012EC_C17,5,30,EDF
SC4012EC,SC4012EC_C17,4,90,EDF
SC4012EC,SC4012EC_C17,3,480,EDF
SC4012EC,SC4012EC_C17,4,60,EDF
SC4012EC,SC4012EC_C17,5,120,EDF
SC4012EC,SC4012EC_C17,4,30,EDF
SC4012EC,SC4012EC_C17,3,300,EDF
SC4012EC,SC4012EC_C17,4,30,EDF
SC4012EC,SC4012EC_C17,5,120,EDF
SC4012EC,SC4012EC_C17,4,210,EDF
SC4012EC,SC4012EC_C17,3,360,EDF
SC4012EC,SC4012EC_C18,1,1170,EDF
SC4012EC,SC4012EC_C18,5,60,EDF
SC4012EC,SC4012EC_C18,4,60,EDF
SC4012EC,SC4012EC_C18,3,480,EDF
SC4012EC,SC4012EC_C18,5,30,EDF
SC4012EC,SC4012EC_C18,4,90,EDF
SC4012EC,SC4012EC_C18,3,1080,EDF
SC4012EC,SC4012EC_C18,4,60,EDF
SC4012EC,SC4012EC_C18,3,1110,EDF
SC4012EC,SC4012EC_C18,5,34170,EDF
SC4021EH,SC4021EH_C1,1,30,EDF
SC4021EH,SC4021EH_C1,3,90,EDF
SC4021EH,SC4021EH_C2,1,30,EDF
SC4021EH,SC4021EH_C2,3,510,EDF
SC4021EH,SC4021EH_C2,2,30,EDF
SC4021EH,SC4021EH_C2,3,180,EDF
SC4021EH,SC4021EH_C2,2,30,EDF
SC4021EH,SC4021EH_C2,3,60,EDF
SC4021EH,SC4021EH_C2,2,210,EDF
SC4021EH,SC4021EH_C2,3,30,EDF
SC4021EH,SC4021EH_C2,2,150,EDF
SC4021EH,SC4021EH_C2,3,30,EDF
SC4021EH,SC4021EH_C2,2,690,EDF
SC4021EH,SC4021EH_C2,5,30,EDF
SC4021EH,SC4021EH_C2,3,90,EDF
SC4021EH,SC4021EH_C2,2,30,EDF
SC4021EH,SC4021EH_C2,3,870,EDF
SC4021EH,SC4021EH_C2,2,30,EDF
SC4021EH,SC4021EH_C2,3,330,EDF
SC4021EH,SC4021EH_C2,2,30,EDF
SC4021EH,SC4021EH_C2,3,30,EDF
SC4021EH,SC4021EH_C2,2,150,EDF
SC4021EH,SC4021EH_C2,3,60,EDF
SC4021EH,SC4021EH_C2,2,30,EDF
SC4021EH,SC4021EH_C2,3,90,EDF
SC4021EH,SC4021EH_C3,1,120,EDF
SC4021EH,SC4021EH_C3,3,60,EDF
SC4021EH,SC4021EH_C4,1,570,EDF
SC4021EH,SC4021EH_C4,4,30,EDF
SC4021EH,SC4021EH_C4,3,60,EDF
SC4021EH,SC4021EH_C5,1,210,EDF
SC4021EH,SC4021EH_C5,5,30,EDF
SC4021EH,SC4021EH_C5,4,30,EDF
SC4021EH,SC4021EH_C5,3,90,EDF
SC4021EH,SC4021EH_C5,4,60,EDF
SC4021EH,SC4021EH_C5,3,330,EDF
SC4021EH,SC4021EH_C5,4,60,EDF
SC4021EH,SC4021EH_C5,3,510,EDF
SC4021EH,SC4021EH_C5,2,30,EDF
SC4021EH,SC4021EH_C5,3,570,EDF
SC4021EH,SC4021EH_C5,2,60,EDF
SC4021EH,SC4021EH_C5,3,60,EDF
SC4021EH,SC4021EH_C5,2,60,EDF
SC4021EH,SC4021EH_C5,3,90,EDF
SC4021EH,SC4021EH_C5,2,30,EDF
SC4021EH,SC4021EH_C5,3,60,EDF
SC4021EH,SC4021EH_C5,2,90,EDF
SC4021EH,SC4021EH_C5,3,60,EDF
SC4021EH,SC4021EH_C5,2,30,EDF
SC4021EH,SC4021EH_C5,3,360,EDF
SC4021EH,SC4021EH_C5,2,60,EDF
SC4021EH,SC4021EH_C5,3,510,EDF
SC4021EH,SC4021EH_C5,2,30,EDF
SC4021EH,SC4021EH_C5,3,90,EDF
SC4021EH,SC4021EH_C6,1,30,EDF
SC4021EH,SC4021EH_C6,3,60,EDF
SC4021EH,SC4021EH_C7,1,90,EDF
SC4021EH,SC4021EH_C7,3,30,EDF
SC4021EH,SC4021EH_C8,1,270,EDF
SC4021EH,SC4021EH_C8,4,60,EDF
SC4021EH,SC4021EH_C8,3,720,EDF
SC4021EH,SC4021EH_C9,1,540,EDF
SC4021EH,SC4021EH_C9,4,240,EDF
SC4021EH,SC4021EH_C9,3,1290,EDF
SC4021EH,SC4021EH_C9,2,30,EDF
SC4021EH,SC4021EH_C9,3,60,EDF
SC4021EH,SC4021EH_C9,2,60,EDF
SC4021EH,SC4021EH_C9,3,30,EDF
SC4021EH,SC4021EH_C9,4,30,EDF
SC4021EH,SC4021EH_C9,3,360,EDF
SC4021EH,SC4021EH_C9,2,30,EDF
SC4021EH,SC4021EH_C9,3,240,EDF
SC4021EH,SC4021EH_C9,2,30,EDF
SC4021EH,SC4021EH_C9,3,90,EDF
SC4021EH,SC4021EH_C9,2,30,EDF
SC4021EH,SC4021EH_C9,3,120,EDF
SC4021EH,SC4021EH_C9,2,60,EDF
SC4021EH,SC4021EH_C9,5,30,EDF
SC4021EH,SC4021EH_C9,4,60,EDF
SC4021EH,SC4021EH_C9,3,750,EDF
SC4021EH,SC4021EH_C10,1,360,EDF
SC4021EH,SC4021EH_C10,4,60,EDF
SC4021EH,SC4021EH_C11,1,240,EDF
SC4021EH,SC4021EH_C11,4,90,EDF
SC4021EH,SC4021EH_C12,1,750,EDF
SC4021EH,SC4021EH_C12,4,150,EDF
SC4021EH,SC4021EH_C12,3,180,EDF
SC4021EH,SC4021EH_C13,1,510,EDF
SC4021EH,SC4021EH_C13,3,30,EDF
SC4021EH,SC4021EH_C14,1,90,EDF
SC4021EH,SC4021EH_C14,5,30,EDF
SC4021EH,SC4021EH_C14,4,60,EDF
SC4021EH,SC4021EH_C14,3,960,EDF
SC4021EH,SC4021EH_C14,2,30,EDF
SC4021EH,SC4021EH_C14,3,480,EDF
SC4021EH,SC4021EH_C14,2,30,EDF
SC4021EH,SC4021EH_C14,4,60,EDF
SC4021EH,SC4021EH_C14,3,960,EDF
SC4021EH,SC4021EH_C15,1,1050,EDF
SC4021EH,SC4021EH_C15,4,90,EDF
SC4021EH,SC4021EH_C15,3,450,EDF
SC4021EH,SC4021EH_C15,4,60,EDF
SC4021EH,SC4021EH_C15,3,600,EDF
SC4021EH,SC4021EH_C15,5,60,EDF
SC4021EH,SC4021EH_C15,4,120,EDF
SC4021EH,SC4021EH_C15,3,360,EDF
SC4021EH,SC4021EH_C15,4,60,EDF
SC4021EH,SC4021EH_C15,3,390,EDF
SC4021EH,SC4021EH_C15,4,90,EDF
SC4021EH,SC4021EH_C15,3,300,EDF
SC4021EH,SC4021EH_C15,4,150,EDF
SC4021EH,SC4021EH_C15,5,35100,EDF
SC4022EJ,SC4022EJ_C1,1,420,EDF
SC4022EJ,SC4022EJ_C1,4,30,EDF
SC4022EJ,SC4022EJ_C2,1,480,EDF
SC4022EJ,SC4022EJ_C2,4,180,EDF
SC4022EJ,SC4022EJ_C2,3,60,EDF
SC4022EJ,SC4022EJ_C3,1,1290,EDF
SC4022EJ,SC4022EJ_C3,4,180,EDF
SC4022EJ,SC4022EJ_C3,3,270,EDF
SC4022EJ,SC4022EJ_C3,4,60,EDF
SC4022EJ,SC4022EJ_C3,3,300,EDF
SC4022EJ,SC4022EJ_C3,4,90,EDF
SC4022EJ,SC4022EJ_C3,3,150,EDF
SC4022EJ,SC4022EJ_C3,2,30,EDF
SC4022EJ,SC4022EJ_C3,3,60,EDF
SC4022EJ,SC4022EJ_C3,2,30,EDF
SC4022EJ,SC4022EJ_C3,3,30,EDF
SC4022EJ,SC4022EJ_C3,2,60,EDF
SC4022EJ,SC4022EJ_C3,3,120,EDF
SC4022EJ,SC4022EJ_C3,2,60,EDF
SC4022EJ,SC4022EJ_C3,4,30,EDF
SC4022EJ,SC4022EJ_C3,3,210,EDF
SC4022EJ,SC4022EJ_C3,2,90,EDF
SC4022EJ,SC4022EJ_C3,3,30,EDF
SC4022EJ,SC4022EJ_C3,2,30,EDF
SC4022EJ,SC4022EJ_C3,3,30,EDF
SC4022EJ,SC4022EJ_C3,2,90,EDF
SC4022EJ,SC4022EJ_C3,3,30,EDF
SC4022EJ,SC4022EJ_C3,2,750,EDF
SC4022EJ,SC4022EJ_C3,4,300,EDF
SC4022EJ,SC4022EJ_C3,3,690,EDF
SC4022EJ,SC4022EJ_C3,2,30,EDF
SC4022EJ,SC4022EJ_C3,3,60,EDF
SC4022EJ,SC4022EJ_C3,4,30,EDF
SC4022EJ,SC4022EJ_C3,3,120,EDF
SC4022EJ,SC4022EJ_C3,4,60,EDF
SC4022EJ,SC4022EJ_C3,3,180,EDF
SC4022EJ,SC4022EJ_C4,1,420,EDF
SC4022EJ,SC4022EJ_C4,0,30,EDF
SC4022EJ,SC4022EJ_C4,4,90,EDF
SC4022EJ,SC4022EJ_C4,3,30,EDF
SC4022EJ,SC4022EJ_C4,4,60,EDF
